laureate_id,full_name,given_name,family_name,gender,birth_date,birth_country,birth_city,prize_date,category,prizeAmount,motivation
745,"A. Michael Spence","A. Michael","Spence",male,1943-00-00,"USA","Montclair, NJ",2001-10-10,"Economic Sciences",10000000,"for their analyses of markets with asymmetric information"
102,"Aage N. Bohr","Aage N.","Bohr",male,1922-06-19,"Denmark","Copenhagen",1975-10-17,"Physics",630000,"for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection"
779,"Aaron Ciechanover","Aaron","Ciechanover",male,1947-10-01,"British Protectorate of Palestine","Haifa",2004-10-06,"Chemistry",10000000,"for the discovery of ubiquitin-mediated protein degradation"
259,"Aaron Klug","Aaron","Klug",male,1926-08-11,"Lithuania","Zelvas",1982-10-18,"Chemistry",1150000,"for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes"
1004,"Abdulrazak Gurnah","Abdulrazak","Gurnah",male,1948-00-00,"nan","nan",2021-10-07,"Literature",10000000,"for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents"
114,"Abdus Salam","Abdus","Salam",male,1926-01-29,"India","Jhang Maghiāna",1979-10-15,"Physics",800000,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"
982,"Abhijit Banerjee","Abhijit","Banerjee",male,1961-02-21,"India","Mumbai",2019-10-14,"Economic Sciences",9000000,"for their experimental approach to alleviating global poverty"
981,"Abiy Ahmed Ali","Abiy","Ahmed Ali",male,1976-08-15,"Ethiopia","Beshasha",2019-10-11,"Peace",9000000,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea"
843,"Ada E. Yonath","Ada E.","Yonath",female,1939-06-22,"British Mandate of Palestine","Jerusalem",2009-10-07,"Chemistry",10000000,"for studies of the structure and function of the ribosome"
866,"Adam G. Riess","Adam G.","Riess",male,1969-12-16,"USA","Washington, D.C.",2011-10-04,"Physics",10000000,"for the discovery of the accelerating expansion of the Universe through observations of distant supernovae"
199,"Adolf Butenandt","Adolf","Butenandt",male,1903-03-24,"Germany","Bremerhaven-Lehe",1939-11-09,"Chemistry",148822,"for his work on sex hormones"
164,"Adolf von Baeyer","Adolf","von Baeyer",male,1835-10-31,"Prussia","Berlin",1905-11-09,"Chemistry",138089,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds"
185,"Adolf Windaus","Adolf","Windaus",male,1876-12-25,"Germany","Berlin",1928-11-13,"Chemistry",156939,"for the services rendered through his research into the constitution of the sterols and their connection with the vitamins"
541,"Adolfo Pérez Esquivel","Adolfo","Pérez Esquivel",male,1931-11-26,"Argentina","Buenos Aires",1980-10-27,"Peace",880000,"for being a source of inspiration to repressed people, especially in Latin America"
292,"Ahmed Zewail","Ahmed","Zewail",male,1946-02-26,"Egypt","Damanhur",1999-10-12,"Chemistry",7900000,"for his studies of the transition states of chemical reactions using femtosecond spectroscopy"
853,"Akira Suzuki","Akira","Suzuki",male,1930-09-12,"Japan","Mukawa",2010-10-06,"Chemistry",10000000,"for palladium-catalyzed cross couplings in organic synthesis"
978,"Akira Yoshino","Akira","Yoshino",male,1948-01-30,"Japan","Suita",2019-10-09,"Chemistry",9000000,"for the development of lithium-ion batteries"
819,"Al Gore","Al","Gore",male,1948-03-31,"USA","Washington, D.C.",2007-10-12,"Peace",10000000,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change"
1012,"Alain Aspect","Alain","Aspect",male,1947-06-15,"France","Agen",2022-10-04,"Physics",10000000,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science"
729,"Alan Heeger","Alan","Heeger",male,1936-01-22,"USA","Sioux City, IA",2000-10-10,"Chemistry",9000000,"for the discovery and development of conductive polymers"
376,"Alan Hodgkin","Alan","Hodgkin",male,1914-02-05,"United Kingdom","Banbury",1963-10-17,"Physiology or Medicine",265000,"for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane"
730,"Alan MacDiarmid","Alan","MacDiarmid",male,1927-04-14,"New Zealand","Masterton",2000-10-10,"Chemistry",9000000,"for the discovery and development of conductive polymers"
11,"Albert A. Michelson","Albert A.","Michelson",male,1852-12-19,"Prussia","Strelno",1907-11-12,"Physics",138796,"for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid"
628,"Albert Camus","Albert","Camus",male,1913-11-07,"French Algeria","Mondovi",1957-10-17,"Literature",208629,"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times"
403,"Albert Claude","Albert","Claude",male,1898-08-24,"Belgium","Longlier",1974-10-10,"Physiology or Medicine",550000,"for their discoveries concerning the structural and functional organization of the cell"
26,"Albert Einstein","Albert","Einstein",male,1879-03-14,"Germany","Ulm",1922-11-09,"Physics",121573,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect"
814,"Albert Fert","Albert","Fert",male,1938-03-07,"France","Carcassonne",2007-10-09,"Physics",10000000,"for the discovery of Giant Magnetoresistance"
465,"Albert Gobat","Albert","Gobat",male,1843-05-21,"Switzerland","Tramelan",1902-12-10,"Peace",141847,"for his eminently practical administration of the Inter-Parliamentary Union"
519,"Albert Lutuli","Albert","Lutuli",male,1898-00-00,"Southern Rhodesia","Bulawayo",1961-10-23,"Peace",225987,"for his non-violent struggle against apartheid"
513,"Albert Schweitzer","Albert","Schweitzer",male,1875-01-14,"Germany","Kaysersberg",1953-10-30,"Peace",171135,"for his altruism, reverence for life, and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one"
332,"Albert Szent-Györgyi","Albert","Szent-Györgyi",male,1893-09-16,"Austria-Hungary","Budapest",1937-10-28,"Physiology or Medicine",158463,"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid"
304,"Albrecht Kossel","Albrecht","Kossel",male,1853-09-16,"Mecklenburg","Rostock",1910-10-20,"Physiology or Medicine",140703,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances"
83,"Aleksandr M. Prokhorov","Aleksandr M.","Prokhorov",male,1916-07-11,"Australia","Atherton",1964-10-29,"Physics",273000,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle"
644,"Aleksandr Solzhenitsyn","Aleksandr","Solzhenitsyn",male,1918-12-11,"Russia","Kislovodsk",1970-10-08,"Literature",400000,"for the ethical force with which he has pursued the indispensable traditions of Russian literature"
1031,"Aleksey Yekimov ","Aleksey","Yekimov",male,1945-00-00,"USSR","Leningrad",2023-10-04,"Chemistry",11000000,"for the discovery and synthesis of quantum dots"
1018,"Ales Bialiatski","Ales","Bialiatski ",male,1962-09-25,"Russia","Vyartsilya, Karelia",2022-10-07,"Peace",10000000,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy."
766,"Alexei Abrikosov","Alexei","Abrikosov",male,1928-06-25,"USSR","Moscow",2003-10-07,"Physics",10000000,"for pioneering contributions to the theory of superconductors and superfluids"
306,"Alexis Carrel","Alexis","Carrel",male,1873-06-28,"France","Sainte-Foy-lès-Lyon",1912-10-10,"Physiology or Medicine",140476,"in recognition of his work on vascular suture and the transplantation of blood vessels and organs"
544,"Alfonso García Robles","Alfonso","García Robles",male,1911-03-20,"Mexico","Zamora",1982-10-13,"Peace",1150000,"for their work for disarmament and nuclear and weapon-free zones"
392,"Alfred D. Hershey","Alfred D.","Hershey",male,1908-12-04,"USA","Owosso, MI",1969-10-16,"Physiology or Medicine",375000,"for their discoveries concerning the replication mechanism and the genetic structure of viruses"
479,"Alfred Fried","Alfred","Fried",male,1864-11-11,"Austria","Vienna",1911-12-10,"Peace",140695,"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations"
450,"Alfred G. Gilman","Alfred G.","Gilman",male,1941-07-01,"USA","New Haven, CT",1994-10-10,"Physiology or Medicine",7000000,"for their discovery of G-proteins and the role of these proteins in signal transduction in cells"
87,"Alfred Kastler","Alfred","Kastler",male,1902-05-03,"Germany","Guebwiller",1966-11-03,"Physics",300000,"for the discovery and development of optical methods for studying Hertzian resonances in atoms"
174,"Alfred Werner","Alfred","Werner",male,1866-12-12,"France","Mulhouse",1913-11-11,"Chemistry",143010,"in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry"
892,"Alice Munro","Alice","Munro",female,1931-07-10,"Canada","Wingham",2013-10-10,"Literature",8000000,"master of the contemporary short story"
417,"Allan M. Cormack","Allan M.","Cormack",male,1924-02-23,"South Africa","Johannesburg",1979-10-11,"Physiology or Medicine",800000,"for the development of computer assisted tomography"
305,"Allvar Gullstrand","Allvar","Gullstrand",male,1862-06-05,"Sweden","Landskrona",1911-10-19,"Physiology or Medicine",140695,"for his work on the dioptrics of the eye"
300,"Alphonse Laveran","Alphonse","Laveran",male,1845-06-18,"France","Paris",1907-10-31,"Physiology or Medicine",138796,"in recognition of his work on the role played by protozoa in causing diseases"
543,"Alva Myrdal","Alva","Myrdal",female,1902-01-31,"Sweden","Uppsala",1982-10-13,"Peace",1150000,"for their work for disarmament and nuclear and weapon-free zones"
882,"Alvin E. Roth","Alvin E.","Roth",male,1951-12-18,"USA","New York, NY",2012-10-15,"Economic Sciences",8000000,"for the theory of stable allocations and the practice of market design"
